LocalidadOrigen,LocalidadDestino,distancia,tiempo
1,2,20667.2,1994.9
1,3,28713.3,2537.9
1,4,24494.8,2473.3
1,5,26648.8,2282.1
1,6,22214.0,2668.8
1,7,31548.5,2573.4
1,8,20022.2,1822.9
1,9,39567.2,3536.4
1,10,16518.3,1757.8
1,11,19465.5,1712.3
1,12,19948.5,1954.4
1,13,21760.3,1999.9
1,14,22410.1,2238.9
1,15,19904.5,1804.1
1,16,26483.9,2376.0
1,17,25460.3,2497.0
1,18,22608.7,2434.4
1,19,28546.4,2614.2
1,20,26491.7,2562.8
1,21,20766.9,1890.9
1,22,13302.0,1527.4
1,23,30911.6,2762.4
1,24,27311.4,2458.6
1,25,23217.1,2107.6
1,26,35302.4,3114.4
1,27,19607.0,1944.8
1,28,31238.6,2681.4
1,29,25475.9,2360.2
1,30,13150.3,1526.4
1,31,24545.6,2202.9
1,32,23266.1,2813.9
1,33,18820.2,1871.0
1,34,27176.4,2560.1
1,35,26500.4,2368.7
1,36,25033.5,2302.2
1,37,33276.5,2875.0
1,38,28222.6,2529.4
1,39,18683.0,1943.9
1,40,23702.8,2179.3
1,41,16157.2,1565.8
1,42,21129.7,1938.1
1,43,27599.7,2641.3
1,44,21464.7,1976.9
1,45,16023.5,1705.5
1,46,27661.0,2549.6
1,47,33464.6,2939.4
1,48,27014.1,2291.0
1,49,26265.1,2494.9
1,50,14553.7,1559.2
1,51,20376.9,1965.9
1,52,30511.9,2733.1
1,53,34559.3,3245.9
1,54,33718.6,2922.0
1,55,31360.0,2698.7
1,56,20634.3,2144.4
1,57,27183.6,2575.0
1,58,21094.8,2006.6
1,59,23695.2,2131.2
1,60,27282.1,2473.1
1,61,32944.2,2903.0
1,62,16087.3,1680.5
1,63,15490.2,1590.1
1,64,24024.4,2088.3
1,65,25919.9,2490.2
1,66,30321.2,2827.6
1,67,25714.8,2092.3
1,68,20396.6,1888.4
1,69,32375.5,2937.0
1,70,19239.1,1701.1
1,71,33093.4,3148.6
1,72,13367.9,1545.9
1,73,21300.9,1975.0
1,74,29786.9,2577.9
1,75,20845.9,1965.1
1,76,22962.6,2194.7
1,77,30609.2,2847.6
1,78,35782.6,2981.5
1,79,14490.1,1520.7
1,80,30804.1,2794.9
1,81,32401.9,2858.6
1,82,22976.9,2035.5
1,83,21658.3,1951.5
1,84,33276.9,2868.5
1,85,24906.8,2244.4
1,86,24564.7,2226.5
1,87,38200.3,3888.3
1,88,22154.8,2400.0
1,89,34809.4,2991.5
1,90,31025.8,2702.1
1,91,19250.8,1696.9
2,1,14262.5,1949.4
2,3,24935.1,1924.0
2,4,8516.8,878.5
2,5,22870.6,1668.2
2,6,32327.0,2335.2
2,7,27770.3,1959.5
2,8,16244.0,1209.0
2,9,22945.8,2024.5
2,10,11893.3,1138.6
2,11,15382.3,1161.0
2,12,1222.1,141.6
2,13,17677.1,1448.6
2,14,6631.7,666.8
2,15,15821.3,1252.8
2,16,11599.7,967.9
2,17,9482.3,902.2
2,18,6830.3,862.3
2,19,11925.1,1102.3
2,20,10713.3,990.7
2,21,16683.7,1339.6
2,22,11350.5,1103.9
2,23,12825.0,1254.8
2,24,12427.3,1050.5
2,25,12154.4,1038.3
2,26,20418.3,1706.3
2,27,2036.9,187.7
2,28,16354.5,1273.3
2,29,7120.5,784.4
2,30,10552.4,1004.1
2,31,6703.1,633.3
2,32,31041.0,2268.1
2,33,2248.3,260.7
2,34,11398.1,988.0
2,35,11155.1,968.7
2,36,13363.5,1208.7
2,37,16655.2,1363.1
2,38,13599.5,1129.5
2,39,5408.4,561.2
2,40,9915.9,896.1
2,41,11847.6,995.9
2,42,17046.5,1386.8
2,43,11821.3,1069.2
2,44,14254.4,1179.5
2,45,6022.5,503.4
2,46,11039.7,1037.7
2,47,15697.2,1385.2
2,48,23235.9,1677.1
2,49,9447.4,947.9
2,50,15332.3,1304.0
2,51,10966.5,1076.2
2,52,12236.4,1216.7
2,53,19675.2,1837.8
2,54,18834.5,1513.9
2,55,16475.9,1290.6
2,56,4656.2,549.6
2,57,10824.1,1038.1
2,58,10897.3,1037.5
2,59,19917.0,1517.3
2,60,11627.0,1054.1
2,61,16322.9,1391.1
2,62,16348.5,1418.3
2,63,6842.1,576.3
2,64,20246.2,1474.4
2,65,10141.5,918.1
2,66,14542.9,1255.5
2,67,21936.5,1478.4
2,68,16618.4,1274.5
2,69,17499.3,1539.2
2,70,15155.9,1149.8
2,71,16748.1,1687.9
2,72,15184.4,1338.3
2,73,17217.7,1423.7
2,74,14902.8,1169.8
2,75,17067.7,1351.2
2,76,2335.1,217.6
2,77,14830.9,1275.5
2,78,32004.4,2367.6
2,79,8706.0,852.7
2,80,14501.3,1379.0
2,81,17517.8,1450.5
2,82,18893.7,1484.2
2,83,17575.1,1400.2
2,84,18392.8,1460.4
2,85,12498.3,1067.4
2,86,6722.2,656.9
2,87,23316.1,2480.2
2,88,5083.6,648.1
2,89,18188.1,1479.6
2,90,16141.7,1294.0
2,91,15167.6,1145.6
3,1,31294.9,2681.8
3,2,24299.3,1913.5
3,4,27134.2,2039.4
3,5,4616.9,508.1
3,6,15572.1,1541.0
3,7,11015.3,1165.3
3,8,9624.1,1070.1
3,9,33561.1,2940.8
3,10,15250.3,1342.4
3,11,14487.0,1166.8
3,12,23580.6,1873.0
3,13,12469.9,1153.0
3,14,28641.6,2114.4
3,15,13231.1,1207.6
3,16,21789.1,1704.6
3,17,28099.6,2063.1
3,18,27649.0,2003.6
3,19,25726.4,1976.8
3,20,33888.2,2438.8
3,21,10929.0,976.5
3,22,15919.3,1440.2
3,23,26216.8,2091.0
3,24,22616.6,1787.2
3,25,18276.5,1454.0
3,26,30607.7,2443.0
3,27,23239.1,1863.4
3,28,26543.9,2010.0
3,29,25488.4,1907.9
3,30,15121.2,1340.4
3,31,22387.3,1677.5
3,32,14286.0,1473.9
3,33,22452.3,1789.6
3,34,30808.5,2478.7
3,35,21766.7,1709.0
3,36,16804.3,1551.4
3,37,31422.2,2317.5
3,38,23527.8,1858.0
3,39,20132.9,1797.5
3,40,19436.0,1677.4
3,41,14530.4,1190.0
3,42,10735.1,996.3
3,43,34901.7,2534.6
3,44,16770.0,1305.5
3,45,19566.9,1660.3
3,46,27170.7,2088.5
3,47,31610.3,2381.9
3,48,3171.7,393.7
3,49,24150.1,2053.5
3,50,14465.1,1348.0
3,51,16474.4,1315.0
3,52,28657.6,2175.6
3,53,29864.6,2574.5
3,54,29023.8,2250.6
3,55,26665.3,2027.3
3,56,24433.0,1941.2
3,57,23667.8,1930.1
3,58,18979.7,1565.2
3,59,7119.9,734.3
3,60,22587.4,1801.7
3,61,31089.8,2345.5
3,62,12860.8,1244.9
3,63,19122.3,1508.7
3,64,7217.7,684.5
3,65,29551.9,2408.8
3,66,33383.3,2418.3
3,67,4407.6,607.7
3,68,10714.7,1003.1
3,69,27680.8,2265.6
3,70,12358.7,974.8
3,71,28398.7,2477.2
3,72,17004.5,1597.2
3,73,11213.8,994.1
3,74,25092.2,1906.5
3,75,10293.1,941.4
3,76,26594.7,2113.3
3,77,33012.5,2402.1
3,78,15249.5,1573.4
3,79,16791.3,1308.3
3,80,26109.4,2123.5
3,81,27707.2,2187.2
3,82,8197.3,730.3
3,83,9895.0,934.4
3,84,28582.2,2197.1
3,85,16677.6,1493.6
3,86,22948.8,1768.0
