VehicleId,DepotId,InitialLoad,RouteSequence,ClientsServed,DemandsSatisfied,TotalDistance,TotalTime,FuelCost
VEH001,CD1,48.0,CD1-C38-C55-C53-C2-CD1,4,12.0-12.0-12.0-12.0,69608.7,121.8,1044130500
VEH002,CD1,36.0,CD1-C43-C66-C63-CD1,3,12.0-12.0-12.0,63187.1,101.7,947806500
VEH006,CD1,86.0,CD1-C20-C81-C13-C57-C69-C4-C58-C76-CD1,8,12.0-5.0-12.0-12.0-12.0-12.0-9.0-12.0,123596.6,203.0,1853949000
VEH007,CD1,60.0,CD1-C78-C59-C22-C10-C65-CD1,5,12.0-12.0-12.0-12.0-12.0,104303.6,154.8,1564554000
VEH009,CD1,48.0,CD1-C29-C37-C87-C72-CD1,4,12.0-12.0-12.0-12.0,95876.7,154.4,1438150500
VEH010,CD1,60.0,CD1-C34-C36-C40-C91-C82-CD1,5,12.0-12.0-12.0-12.0-12.0,89314.2,134.0,1339713000
VEH013,CD1,36.0,CD1-C15-C44-C41-CD1,3,12.0-12.0-12.0,48512.7,77.0,727690500
VEH014,CD1,72.0,CD1-C52-C84-C42-C51-C75-C30-CD1,6,12.0-12.0-12.0-12.0-12.0-12.0,99401.0,151.5,1491015000
VEH016,CD1,178.0,CD1-C89-C88-C86-C80-C31-C39-C8-C68-C48-C7-C64-C11-C90-C60-C27-CD1,15,12.0-10.0-12.0-12.0-12.0-12.0-12.0-12.0-12.0-12.0-12.0-12.0-12.0-12.0-12.0,179208.3,281.9,2688124500
VEH017,CD1,119.0,CD1-C79-C70-C35-C25-C85-C24-C19-C32-C21-C6-CD1,10,12.0-12.0-12.0-12.0-12.0-12.0-12.0-11.0-12.0-12.0,140943.6,209.3,2114154000
VEH018,CD1,68.0,CD1-C18-C71-C54-C26-C14-C12-CD1,6,12.0-12.0-12.0-12.0-8.0-12.0,87621.5,150.1,1314322500
VEH021,CD1,60.0,CD1-C28-C16-C23-C61-C74-CD1,5,12.0-12.0-12.0-12.0-12.0,100999.0,135.7,1514985000
VEH024,CD1,48.0,CD1-C33-C47-C9-C56-CD1,4,12.0-12.0-12.0-12.0,83899.8,137.8,1258497000
VEH028,CD1,60.0,CD1-C46-C17-C77-C49-C45-CD1,5,12.0-12.0-12.0-12.0-12.0,75473.0,117.5,1132095000
VEH030,CD1,84.0,CD1-C50-C62-C67-C3-C5-C73-C83-CD1,7,12.0-12.0-12.0-12.0-12.0-12.0-12.0,69996.7,119.0,1049950500
